iter	Passed	Remaining
0	305	304821
1	556	277561
2	814	270611
3	1076	268099
4	1348	268320
5	1598	264749
6	1829	259505
7	2068	256487
8	2311	254541
9	2552	252722
10	2784	250309
11	3018	248483
12	3272	248435
13	3537	249171
14	3776	247972
15	4011	246706
16	4236	244948
17	4467	243731
18	4684	241870
19	4904	240315
20	5148	240014
21	5391	239666
22	5620	238764
23	5842	237593
24	6067	236650
25	6300	236034
26	6519	234927
27	6728	233589
28	6957	232963
29	7194	232609
30	7403	231421
31	7614	230337
32	7821	229200
33	8050	228723
34	8264	227857
35	8473	226899
36	8699	226429
37	8930	226085
38	9162	225775
39	9421	226124
40	9663	226041
41	9939	226706
42	10218	227417
43	10487	227871
44	10752	228200
45	10980	227731
46	11234	227797
47	11451	227130
48	11693	226948
49	11929	226653
50	12152	226137
51	12373	225572
52	12616	225429
53	12860	225294
54	13120	225435
55	13364	225294
56	13612	225198
57	13845	224868
58	14138	225500
59	14443	226287
60	14728	226729
61	15030	227391
62	15296	227499
63	15608	228279
64	15923	229053
65	16224	229605
66	16517	230018
67	16787	230081
68	17057	230157
69	17345	230441
70	17610	230418
71	17866	230281
72	18153	230527
73	18467	231088
74	18755	231318
75	19053	231647
76	19344	231883
77	19641	232175
78	19964	232748
79	20293	233375
80	20652	234321
81	21024	235372
82	21337	235735
83	21656	236159
84	22026	237108
85	22349	237525
86	22661	237817
87	23038	238758
88	23429	239824
89	23797	240617
90	24157	241304
91	24511	241919
92	24860	242453
93	25201	242897
94	25546	243364
95	25931	244190
96	26322	245040
97	26665	245428
98	27022	245928
99	27417	246758
100	27779	247263
101	28121	247580
102	28475	247987
103	28844	248506
104	29234	249188
105	29572	249414
106	29937	249851
107	30345	250634
108	30725	251162
109	31059	251298
110	31372	251261
111	31698	251324
112	32046	251548
113	32387	251710
114	32710	251730
115	33014	251596
116	33364	251798
117	33697	251877
118	34018	251854
119	34349	251893
120	34693	252029
121	35023	252057
122	35330	251910
123	35648	251837
124	35982	251879
125	36301	251802
126	36615	251698
127	36943	251675
128	37297	251833
129	37641	251906
130	37963	251831
131	38289	251779
132	38625	251790
133	38941	251668
134	39278	251672
135	39625	251736
136	39966	251762
137	40305	251762
138	40721	252241
139	41100	252477
140	41409	252275
141	41723	252102
142	42037	251929
143	42357	251792
144	42688	251716
145	43021	251648
146	43323	251394
147	43612	251063
148	43907	250776
149	44186	250390
150	44478	250079
151	44753	249678
152	45059	249447
153	45360	249190
154	45651	248873
155	45708	247292
156	45983	246906
157	46255	246500
158	46507	245994
159	46787	245635
160	47046	245168
161	47322	244791
162	47581	244328
163	47861	243978
164	48158	243710
165	48427	243303
166	48677	242803
167	48934	242341
168	49199	241923
169	49458	241474
170	49710	240994
171	49955	240484
172	50225	240097
173	50507	239763
174	50782	239402
175	51028	238904
176	51267	238380
177	51526	237946
178	51784	237512
179	52064	237184
180	52336	236815
181	52627	236532
182	52885	236106
183	53127	235609
184	53373	235131
185	53615	234637
186	53829	234029
187	54026	233347
188	54234	232721
189	54455	232150
190	54691	231652
191	54888	230990
192	55086	230334
193	55299	229749
194	55503	229131
195	55723	228582
196	55927	227968
197	56144	227412
198	56372	226906
199	56580	226323
200	56779	225706
201	56985	225121
202	57190	224535
203	57395	223956
204	57599	223375
205	57819	222858
206	58045	222367
207	58281	221919
208	58491	221371
209	58701	220828
210	58926	220344
211	59132	219796
212	59334	219232
213	59542	218692
214	59774	218247
215	60013	217825
216	60243	217377
217	60465	216898
218	60693	216446
219	60921	215993
220	61147	215539
221	61369	215070
222	61628	214732
223	61918	214503
224	62207	214270
225	62440	213844
226	62677	213433
227	62916	213031
228	63129	212546
229	63361	212122
230	63588	211684
231	63825	211284
232	64053	210853
233	64298	210482
234	64542	210105
235	64787	209735
236	65023	209337
237	65273	208984
238	65526	208641
239	65765	208258
240	65995	207845
241	66233	207458
242	66489	207128
243	66756	206836
244	67002	206477
245	67235	206080
246	67476	205708
247	67725	205360
248	67967	204993
249	68211	204633
250	68451	204263
251	68707	203940
252	68964	203623
253	69221	203302
254	69465	202948
255	69718	202619
256	69977	202308
257	70222	201956
258	70477	201637
259	70747	201358
260	71013	201069
261	71264	200736
262	71533	200457
263	71810	200200
264	72118	200027
265	72397	199773
266	72633	199402
267	72890	199088
268	73148	198780
269	73391	198429
270	73621	198045
271	73872	197717
272	74129	197406
273	74376	197070
274	74613	196708
275	74867	196391
276	75134	196109
277	75392	195803
278	75630	195447
279	75861	195072
280	76130	194796
281	76365	194435
282	76608	194092
283	76878	193821
284	77133	193510
285	77391	193207
286	77639	192882
287	77892	192567
288	78134	192227
289	78370	191872
290	78626	191566
291	78893	191290
292	79164	191020
293	79411	190695
294	79667	190392
295	79933	190111
296	80183	189793
297	80408	189419
298	80654	189092
299	80905	188779
300	81149	188450
301	81391	188116
302	81623	187760
303	81872	187444
304	82123	187134
305	82356	186782
306	82587	186427
307	82824	186086
308	83053	185727
309	83293	185394
310	83528	185051
311	83777	184739
312	84029	184436
313	84272	184110
314	84499	183752
315	84733	183411
316	84970	183075
317	85201	182727
318	85432	182380
319	85659	182027
320	85897	181695
321	86149	181394
322	86397	181086
323	86632	180752
324	86855	180393
325	87098	180075
326	87335	179746
327	87566	179404
328	87819	179108
329	88068	178806
330	88320	178509
331	88561	178189
332	88791	177850
333	89030	177528
334	89256	177180
335	89484	176839
336	89709	176491
337	89957	176188
338	90242	175960
339	90575	175823
340	90899	175667
341	91155	175381
342	91382	175038
343	91632	174740
344	91896	174469
345	92175	174228
346	92440	173958
347	92707	173693
348	92930	173345
349	93151	172995
350	93371	172644
351	93599	172307
352	93818	171956
353	94031	171593
354	94264	171269
355	94502	170953
356	94740	170638
357	94968	170306
358	95183	169951
359	95416	169629
360	95630	169273
361	95852	168933
362	96082	168607
363	96323	168301
364	96570	168006
365	96807	167693
366	97046	167386
367	97283	167073
368	97512	166748
369	97733	166410
370	97971	166101
371	98217	165807
372	98453	165496
373	98667	165150
374	98927	164879
375	99145	164539
376	99369	164209
377	99631	163943
378	99864	163630
379	100075	163281
380	100280	162922
381	100518	162618
382	100739	162287
383	100951	161942
384	101158	161590
385	101380	161262
386	101621	160966
387	101854	160656
388	102063	160310
389	102307	160019
390	102560	159743
391	102812	159463
392	103025	159125
393	103261	158823
394	103491	158511
395	103710	158185
396	103921	157845
397	104138	157515
398	104348	157176
399	104564	156846
400	104787	156527
401	105014	156215
402	105246	155910
403	105470	155594
404	105715	155310
405	105946	155005
406	106155	154668
407	106367	154336
408	106575	154000
409	106787	153669
410	106998	153338
411	107226	153031
412	107456	152728
413	107690	152431
414	107912	152116
415	108123	151788
416	108341	151470
417	108558	151151
418	108780	150838
419	108997	150520
420	109212	150199
421	109427	149879
422	109638	149553
423	109872	149260
424	110120	148987
425	110358	148699
426	110597	148413
427	110811	148093
428	111028	147779
429	111246	147465
430	111454	147141
431	111694	146857
432	111933	146573
433	112178	146296
434	112412	146007
435	112637	145705
436	112852	145391
437	113073	145085
438	113292	144777
439	113530	144493
440	113787	144234
441	114049	143981
442	114301	143715
443	114540	143433
444	114766	143136
445	114999	142847
446	115233	142560
447	115452	142253
448	115713	142000
449	115961	141730
450	116232	141489
451	116495	141237
452	116735	140958
453	116995	140704
454	117253	140446
455	117517	140196
456	117799	139968
457	118076	139732
458	118347	139489
459	118621	139251
460	118877	138991
461	119144	138743
462	119396	138479
463	119644	138210
464	119900	137950
465	120168	137704
466	120445	137467
467	120715	137224
468	120953	136943
469	121189	136660
470	121436	136390
471	121682	136119
472	121967	135892
473	122226	135635
474	122523	135421
475	122821	135207
476	123093	134963
477	123348	134703
478	123588	134424
479	123858	134180
480	124110	133915
481	124364	133653
482	124633	133407
483	124880	133137
484	125131	132871
485	125390	132614
486	125629	132336
487	125865	132055
488	126099	131773
489	126344	131501
490	126590	131231
491	126837	130961
492	127103	130712
493	127354	130448
494	127614	130192
495	127886	129949
496	128123	129670
497	128363	129394
498	128603	129119
499	128838	128838
500	129073	128558
501	129333	128302
502	129599	128053
503	129851	127790
504	130084	127508
505	130323	127232
506	130582	126976
507	130819	126698
508	131053	126419
509	131308	126158
510	131592	125926
511	131850	125670
512	132098	125403
513	132328	125119
514	132571	124849
515	132809	124573
516	133056	124306
517	133333	124067
518	133615	123832
519	133951	123647
520	134252	123429
521	134546	123205
522	134824	122965
523	135114	122737
524	135394	122499
525	135696	122282
526	135988	122054
527	136270	121817
528	136528	121559
529	136777	121293
530	137021	121023
531	137284	120769
532	137549	120516
533	137857	120302
534	138167	120089
535	138457	119858
536	138741	119622
537	139017	119379
538	139296	119138
539	139576	118898
540	139866	118666
541	140152	118431
542	140443	118199
543	140724	117960
544	140989	117706
545	141272	117468
546	141546	117222
547	141824	116979
548	142128	116757
549	142401	116510
550	142661	116251
551	142979	116041
552	143308	115839
553	143646	115642
554	143940	115411
555	144220	115168
556	144489	114916
557	144755	114662
558	145022	114409
559	145309	114171
560	145599	113936
561	145888	113699
562	146162	113451
563	146444	113209
564	146729	112968
565	147012	112726
566	147287	112478
567	147584	112247
568	147894	112025
569	148184	111788
570	148469	111547
571	148747	111300
572	149029	111056
573	149320	110820
574	149617	110586
575	149908	110349
576	150225	110130
577	150535	109906
578	150851	109686
579	151166	109465
580	151454	109224
581	151739	108981
582	152031	108742
583	152336	108513
584	152674	108307
585	153025	108110
586	153397	107927
587	153739	107722
588	154070	107508
589	154376	107278
590	154684	107049
591	155026	106842
592	155360	106630
593	155681	106408
594	155981	106172
595	156283	105936
596	156591	105706
597	156905	105477
598	157212	105245
599	157550	105033
600	157881	104816
601	158218	104602
602	158546	104382
603	158868	104158
604	159166	103918
605	159489	103694
606	159802	103463
607	160119	103234
608	160504	103049
609	160866	102849
610	161213	102638
611	161524	102404
612	161824	102163
613	162108	101911
614	162419	101677
615	162706	101427
616	163004	101184
617	163318	100951
618	163628	100714
619	163904	100457
620	164186	100203
621	164456	99942
622	164741	99690
623	165016	99432
624	165319	99191
625	165623	98950
626	165921	98706
627	166197	98448
628	166471	98189
629	166748	97931
630	167019	97670
631	167304	97417
632	167606	97174
633	167894	96923
634	168156	96657
635	168419	96391
636	168711	96141
637	169015	95899
638	169292	95640
639	169543	95368
640	169810	95104
641	170069	94836
642	170337	94572
643	170609	94312
644	170846	94032
645	171074	93746
646	171299	93459
647	171504	93163
648	171729	92876
649	171940	92583
650	172147	92288
651	172356	91993
652	172594	91715
653	172820	91431
654	173047	91146
655	173254	90852
656	173451	90554
657	173676	90269
658	173884	89976
659	174093	89684
660	174332	89407
661	174573	89132
662	174807	88854
663	175047	88578
664	175313	88315
665	175546	88036
666	175779	87758
667	175984	87465
668	176201	87178
669	176414	86890
670	176623	86600
671	176828	86309
672	177047	86024
673	177292	85752
674	177542	85483
675	177780	85208
676	177980	84915
677	178195	84629
678	178396	84337
679	178617	84055
680	178831	83769
681	179060	83491
682	179290	83213
683	179522	82937
684	179727	82648
685	179941	82363
686	180157	82080
687	180365	81793
688	180573	81506
689	180796	81227
690	181036	80955
691	181280	80685
692	181500	80405
693	181723	80125
694	181943	79845
695	182179	79572
696	182386	79286
697	182617	79012
698	182687	78667
699	182935	78400
700	183174	78130
701	183399	77853
702	183626	77577
703	183852	77301
704	184071	77022
705	184291	76744
706	184526	76472
707	184779	76208
708	185032	75944
709	185269	75673
710	185502	75401
711	185733	75128
712	185972	74858
713	186193	74581
714	186440	74315
715	186700	74054
716	186938	73784
717	187171	73512
718	187395	73237
719	187619	72963
720	187848	72690
721	188109	72429
722	188386	72175
723	188669	71923
724	188922	71660
725	189161	71391
726	189382	71116
727	189623	70848
728	189855	70577
729	190080	70303
730	190342	70043
731	190572	69772
732	190807	69503
733	191049	69235
734	191298	68971
735	191543	68705
736	191775	68435
737	192014	68167
738	192243	67896
739	192469	67624
740	192709	67357
741	192952	67091
742	193194	66825
743	193431	66557
744	193673	66290
745	193910	66023
746	194155	65758
747	194392	65490
748	194623	65220
749	194856	64952
750	195101	64687
751	195347	64422
752	195590	64157
753	195823	63889
754	196057	63621
755	196324	63363
756	196569	63099
757	196814	62835
758	197055	62569
759	197334	62316
760	197587	62054
761	197848	61795
762	198090	61530
763	198362	61274
764	198652	61024
765	198948	60775
766	199253	60529
767	199563	60284
768	199898	60047
769	200252	59815
770	200660	59599
771	200918	59338
772	201152	59070
773	201417	58811
774	201662	58547
775	201989	58306
776	202269	58051
777	202692	57837
778	202993	57588
779	203303	57342
780	203569	57082
781	203860	56830
782	204206	56593
783	204504	56343
784	204815	56095
785	205154	55856
786	205462	55607
787	205727	55347
788	205985	55086
789	206304	54840
790	206642	54599
791	206923	54343
792	207265	54103
793	207542	53845
794	207842	53594
795	208147	53344
796	208499	53105
797	208800	52854
798	209063	52592
799	209400	52350
800	209665	52089
801	209948	51832
802	210268	51585
803	210634	51348
804	210928	51094
805	211201	50835
806	211455	50571
807	211716	50308
808	212009	50054
809	212288	49796
810	212734	49576
811	213076	49333
812	213411	49087
813	213778	48848
814	214106	48600
815	214382	48341
816	214691	48088
817	214970	47829
818	215258	47572
819	215575	47321
820	215878	47067
821	216183	46813
822	216467	46554
823	216728	46291
824	217021	46034
825	217286	45772
826	217562	45511
827	217836	45251
828	218125	44993
829	218418	44736
830	218695	44475
831	218957	44212
832	219235	43952
833	219510	43691
834	219780	43429
835	220045	43166
836	220354	42912
837	220634	42652
838	220918	42393
839	221191	42131
840	221469	41871
841	221752	41611
842	222021	41349
843	222295	41087
844	222563	40825
845	222857	40567
846	223147	40308
847	223410	40045
848	223692	39785
849	223950	39520
850	224195	39254
851	224426	38984
852	224692	38721
853	224945	38456
854	225192	38190
855	225453	37926
856	225717	37663
857	226001	37403
858	226255	37138
859	226507	36873
860	226764	36608
861	227013	36343
862	227245	36074
863	227478	35806
864	227720	35540
865	227971	35275
866	228223	35010
867	228465	34743
868	228671	34471
869	228897	34203
870	229117	33933
871	229346	33665
872	229569	33396
873	229815	33131
874	230056	32865
875	230290	32598
876	230489	32326
877	230693	32055
878	230909	31786
879	231114	31515
880	231321	31245
881	231545	30977
882	231763	30709
883	231987	30441
884	232190	30171
885	232395	29901
886	232596	29631
887	232806	29363
888	233001	29092
889	233233	28826
890	233451	28559
891	233706	28296
892	233944	28031
893	234176	27765
894	234372	27496
895	234570	27226
896	234771	26958
897	234987	26691
898	235207	26424
899	235424	26158
900	235623	25889
901	235833	25622
902	236035	25354
903	236244	25087
904	236488	24824
905	236686	24556
906	236883	24289
907	237087	24022
908	237287	23754
909	237496	23488
910	237685	23220
911	237898	22955
912	238128	22691
913	238333	22425
914	238535	22159
915	238741	21893
916	238967	21629
917	239167	21363
918	239375	21098
919	239597	20834
920	239830	20571
921	240047	20307
922	240277	20044
923	240516	19782
924	240727	19518
925	240949	19255
926	241160	18991
927	241383	18728
928	241622	18466
929	241838	18202
930	242071	17940
931	242303	17678
932	242560	17418
933	242813	17158
934	243056	16896
935	243283	16634
936	243518	16373
937	243761	16112
938	244009	15851
939	244262	15591
940	244518	15331
941	244770	15070
942	245006	14809
943	245264	14549
944	245498	14288
945	245727	14026
946	245995	13767
947	246248	13507
948	246511	13247
949	246750	12986
950	247000	12726
951	247254	12466
952	247518	12207
953	247801	11948
954	248113	11691
955	248399	11432
956	248666	11173
957	248898	10912
958	249148	10651
959	249397	10391
960	249662	10131
961	249942	9873
962	250250	9615
963	250508	9355
964	250743	9094
965	250997	8834
966	251236	8573
967	251484	8313
968	251746	8053
969	252037	7794
970	252315	7535
971	252597	7276
972	252887	7017
973	253146	6757
974	253448	6498
975	253762	6240
976	254083	5981
977	254405	5722
978	254745	5464
979	255110	5206
980	255439	4947
981	255737	4687
982	256028	4427
983	256296	4167
984	256583	3907
985	256861	3647
986	257141	3386
987	257448	3126
988	257785	2867
989	258115	2607
990	258460	2347
991	258757	2086
992	259054	1826
993	259375	1565
994	259692	1304
995	260011	1044
996	260342	783
997	260649	522
998	260956	261
999	261260	0
